Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
135,,,0,cl_cd,-100,-100,1,1
136,,,0,cl_cd,-100,-100,1,1
137,,,0,cl_cd,-100,-100,1,1
138,,,0,cl_cd,-100,-100,1,1
139,,,0,cl_cd,-100,-100,1,1
140,,,0,cl_cd,-100,-100,1,1
141,,,0,cl_cd,-100,-100,1,1
142,,,0,cl_cd,-100,-100,1,1
143,,,0,cl_cd,-100,-100,1,1
144,,,0,cl_cd,-100,-100,1,1
145,,,0,cl_cd,-100,-100,1,1
146,,,0,cl_cd,-100,-100,1,1
147,,,0,cl_cd,-100,-100,1,1
148,,,0,cl_cd,-100,-100,1,1
149,,,0,cl_cd,-100,-100,1,1
150,,,0,cl_cd,-100,-100,1,1
151,,,0,cl_cd,-100,-100,1,1
152,,,0,cl_cd,-100,-100,1,1
153,,,0,cl_cd,-100,-100,1,1
154,,,0,cl_cd,-100,-100,1,1
155,,,0,cl_cd,-100,-100,1,1
156,,,0,cl_cd,-100,-100,1,1
157,,,0,cl_cd,-100,-100,1,1
158,,,0,cl_cd,-100,-100,1,1
159,,,0,cl_cd,-100,-100,1,1
160,,,0,cl_cd,-100,-100,1,1
161,,,0,cl_cd,-100,-100,1,1
162,,,0,cl_cd,-100,-100,1,1
163,,,0,cl_cd,-100,-100,1,1
164,,,0,cl_cd,-100,-100,1,1
165,,,0,cl_cd,-100,-100,1,1
166,,,0,cl_cd,-100,-100,1,1
167,,,0,cl_cd,-100,-100,1,1
168,,,0,cl_cd,-100,-100,1,1
169,,,0,cl_cd,-100,-100,1,1
170,,,0,cl_cd,-100,-100,1,1
171,,,0,cl_cd,-100,-100,1,1
172,,,0,cl_cd,-100,-100,1,1
173,,,0,cl_cd,-100,-100,1,1
174,,,0,cl_cd,-100,-100,1,1
175,,,0,cl_cd,-100,-100,1,1
176,,,0,cl_cd,-100,-100,1,1
177,,,0,cl_cd,-100,-100,1,1
178,,,0,cl_cd,-100,-100,1,1
179,,,0,cl_cd,-100,-100,1,1
180,,,0,cl_cd,-100,-100,1,1
181,,,0,cl_cd,-100,-100,1,1
182,,,0,cl_cd,-100,-100,1,1
183,,,0,cl_cd,-100,-100,1,1
184,,,0,cl_cd,-100,-100,1,1
185,,,0,cl_cd,-100,-100,1,1
186,,,0,cl_cd,-100,-100,1,1
187,,,0,cl_cd,-100,-100,1,1
188,,,0,cl_cd,-100,-100,1,1
189,,,0,cl_cd,-100,-100,1,1
190,,,0,cl_cd,-100,-100,1,1
191,,,0,cl_cd,-100,-100,1,1
192,,,0,cl_cd,-100,-100,1,1
193,,,0,cl_cd,-100,-100,1,1
194,,,0,cl_cd,-100,-100,1,1
195,,,0,cl_cd,-100,-100,1,1
196,,,0,cl_cd,-100,-100,1,1
197,,,0,cl_cd,-100,-100,1,1
198,,,0,cl_cd,-100,-100,1,1
199,,,0,cl_cd,-100,-100,1,1
200,,,0,cl_cd,-100,-100,1,1
201,,,0,cl_cd,-100,-100,1,1
202,,,0,cl_cd,-100,-100,1,1
203,,,0,cl_cd,-100,-100,1,1
204,,,0,cl_cd,-100,-100,1,1
205,,,0,cl_cd,-100,-100,1,1
206,,,0,cl_cd,-100,-100,1,1
207,,,0,cl_cd,-100,-100,1,1
208,,,0,cl_cd,-100,-100,1,1
209,,,0,cl_cd,-100,-100,1,1
210,,,0,cl_cd,-100,-100,1,1
211,,,0,cl_cd,-100,-100,1,1
212,,,0,cl_cd,-100,-100,1,1
