0.999416 0.001348
0.998458 0.001248
0.996986 0.001270
0.995000 0.001405
0.992498 0.001649
0.989480 0.001995
0.985948 0.002436
0.981904 0.002967
0.977349 0.003583
0.972288 0.004278
0.966725 0.005046
0.960663 0.005883
0.954110 0.006785
0.947069 0.007746
0.939549 0.008762
0.931557 0.009831
0.923100 0.010946
0.914187 0.012106
0.904828 0.013306
0.895031 0.014543
0.884807 0.015815
0.874166 0.017117
0.863120 0.018446
0.851680 0.019801
0.839859 0.021178
0.827668 0.022574
0.815122 0.023987
0.802232 0.025413
0.789014 0.026851
0.775481 0.028296
0.761648 0.029747
0.747529 0.031201
0.733141 0.032655
0.718497 0.034105
0.703614 0.035549
0.688509 0.036983
0.673197 0.038405
0.657695 0.039812
0.642020 0.041199
0.626188 0.042563
0.610217 0.043902
0.594124 0.045211
0.577927 0.046486
0.561642 0.047725
0.545289 0.048922
0.528884 0.050075
0.512445 0.051179
0.495990 0.052231
0.479538 0.053226
0.463105 0.054161
0.446710 0.055032
0.430370 0.055835
0.414104 0.056567
0.397929 0.057223
0.381862 0.057800
0.365922 0.058295
0.350125 0.058704
0.334489 0.059025
0.319031 0.059254
0.303767 0.059389
0.288714 0.059427
0.273889 0.059366
0.259308 0.059204
0.244986 0.058940
0.230940 0.058572
0.217184 0.058098
0.203734 0.057520
0.190604 0.056835
0.177808 0.056044
0.165362 0.055147
0.153277 0.054145
0.141568 0.053038
0.130247 0.051829
0.119326 0.050518
0.108818 0.049108
0.098734 0.047600
0.089086 0.045998
0.079883 0.044302
0.071137 0.042516
0.062857 0.040644
0.055052 0.038686
0.047731 0.036647
0.040903 0.034528
0.034575 0.032332
0.028756 0.030061
0.023452 0.027717
0.018669 0.025300
0.014415 0.022810
0.010694 0.020248
0.007512 0.017612
0.004875 0.014898
0.002786 0.012104
0.001251 0.009222
0.000272 0.006247
-0.000146 0.003167
0.000000 -0.000027
-0.000162 -0.002759
0.000297 -0.005508
0.001368 -0.008182
0.003043 -0.010793
0.005314 -0.013349
0.008173 -0.015857
0.011611 -0.018320
0.015619 -0.020740
0.020188 -0.023118
0.025308 -0.025453
0.030969 -0.027743
0.037161 -0.029986
0.043875 -0.032177
0.051099 -0.034312
0.058822 -0.036389
0.067035 -0.038400
0.075725 -0.040343
0.084880 -0.042211
0.094490 -0.044000
0.104542 -0.045707
0.115023 -0.047325
0.125921 -0.048852
0.137223 -0.050283
0.148917 -0.051615
0.160987 -0.052846
0.173422 -0.053972
0.186207 -0.054991
0.199327 -0.055902
0.212769 -0.056703
0.226518 -0.057395
0.240559 -0.057975
0.254877 -0.058446
0.269456 -0.058806
0.284281 -0.059057
0.299336 -0.059200
0.314605 -0.059237
0.330073 -0.059170
0.345721 -0.059000
0.361535 -0.058732
0.377497 -0.058366
0.393590 -0.057908
0.409797 -0.057359
0.426101 -0.056723
0.442484 -0.056004
0.458930 -0.055205
0.475420 -0.054331
0.491937 -0.053386
0.508463 -0.052372
0.524980 -0.051295
0.541471 -0.050158
0.557917 -0.048966
0.574301 -0.047723
0.590604 -0.046433
0.606810 -0.045100
0.622899 -0.043728
0.638855 -0.042322
0.654660 -0.040884
0.670296 -0.039421
0.685746 -0.037935
0.700993 -0.036430
0.716020 -0.034911
0.730809 -0.033382
0.745345 -0.031846
0.759610 -0.030308
0.773590 -0.028771
0.787267 -0.027240
0.800628 -0.025718
0.813656 -0.024209
0.826338 -0.022718
0.838658 -0.021248
0.850604 -0.019803
0.862161 -0.018387
0.873318 -0.017005
0.884062 -0.015659
0.894381 -0.014354
0.904265 -0.013094
0.913702 -0.011882
0.922684 -0.010722
0.931200 -0.009617
0.939243 -0.008571
0.946806 -0.007585
0.953881 -0.006663
0.960462 -0.005807
0.966544 -0.005019
0.972123 -0.004298
0.977196 -0.003646
0.981761 -0.003062
0.985814 -0.002545
0.989358 -0.002091
0.992391 -0.001697
0.994915 -0.001357
0.996934 -0.001064
0.998451 -0.000810
0.999471 -0.000582
1.000000 -0.000368
