Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
1,,,0,cl,-1,-1,1,1
2,,,0,cl,-1,-1,1,1
3,,,0,cl,-1,-1,1,1
4,,,0,cl,-1,-1,1,1
5,,,0,cl,-1,-1,1,1
6,-0.0185,0.00615,-3.00813,cl,-0.0185,-0.0185,0,0
7,0.0513,0.00629,8.1558,cl,0.0513,0.0513,0,0
8,,,0,cl,-1,-1,1,1
9,,,0,cl,-1,-1,1,1
10,,,0,cl,-1,-1,1,1
11,,,0,cl,-1,-1,1,1
12,0.1774,0.00654,27.1254,cl,0.1774,0.1774,0,0
13,,,0,cl,-1,-1,1,1
14,,,0,cl,-1,-1,1,1
15,0.0091,0.00637,1.42857,cl,0.0091,0.0091,0,0
16,,,0,cl,-1,-1,1,1
17,0.0245,0.00667,3.67316,cl,0.0245,0.0245,0,0
18,0.0319,0.00673,4.73997,cl,0.0319,0.0319,0,0
19,,,0,cl,-1,-1,1,1
20,,,0,cl,-1,-1,1,1
21,0.1201,0.00712,16.868,cl,0.1201,0.1201,0,0
22,0.1447,0.00713,20.2945,cl,0.1447,0.1447,0,0
23,,,0,cl,-1,-1,1,1
24,0.1651,0.00725,22.7724,cl,0.1651,0.1651,0,0
25,,,0,cl,-1,-1,1,1
26,,,0,cl,-1,-1,1,1
27,,,0,cl,-1,-1,1,1
28,0.2146,0.0079,27.1646,cl,0.2146,0.2146,0,0
29,0.2057,0.00786,26.1705,cl,0.2057,0.2057,0,0
30,0.1842,0.00781,23.5851,cl,0.1842,0.1842,0,0
31,0.1583,0.00775,20.4258,cl,0.1583,0.1583,0,0
32,0.1091,0.00754,14.4695,cl,0.1091,0.1091,0,0
33,,,0,cl,-1,-1,1,1
34,,,0,cl,-1,-1,1,1
35,,,0,cl,-1,-1,1,1
36,0.1385,0.00788,17.5761,cl,0.1385,0.1385,0,0
37,,,0,cl,-1,-1,1,1
38,,,0,cl,-1,-1,1,1
39,,,0,cl,-1,-1,1,1
40,,,0,cl,-1,-1,1,1
41,,,0,cl,-1,-1,1,1
42,,,0,cl,-1,-1,1,1
43,,,0,cl,-1,-1,1,1
44,,,0,cl,-1,-1,1,1
45,,,0,cl,-1,-1,1,1
46,,,0,cl,-1,-1,1,1
47,,,0,cl,-1,-1,1,1
48,,,0,cl,-1,-1,1,1
49,0.1153,0.00787,14.6506,cl,0.1153,0.1153,0,0
50,,,0,cl,-1,-1,1,1
51,0.1231,0.00773,15.925,cl,0.1231,0.1231,0,0
52,,,0,cl,-1,-1,1,1
53,,,0,cl,-1,-1,1,1
54,,,0,cl,-1,-1,1,1
55,,,0,cl,-1,-1,1,1
56,,,0,cl,-1,-1,1,1
57,,,0,cl,-1,-1,1,1
58,,,0,cl,-1,-1,1,1
59,,,0,cl,-1,-1,1,1
60,,,0,cl,-1,-1,1,1
61,0.1306,0.00792,16.4899,cl,0.1306,0.1306,0,0
62,0.0737,0.00798,9.23559,cl,0.0737,0.0737,0,0
63,0.0853,0.00804,10.6095,cl,0.0853,0.0853,0,0
64,,,0,cl,-1,-1,1,1
