Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
1,,,0,cl,-1,-1,1,1
2,,,0,cl,-1,-1,1,1
3,,,0,cl,-1,-1,1,1
4,-0.0151,0.00566,-2.66784,cl,-0.0151,-0.0151,0,0
5,,,0,cl,-1,-1,1,1
6,0.0646,0.00558,11.5771,cl,0.0646,0.0646,0,0
7,,,0,cl,-1,-1,1,1
8,,,0,cl,-1,-1,1,1
9,,,0,cl,-1,-1,1,1
10,-0.0176,0.00572,-3.07692,cl,-0.0176,-0.0176,0,0
11,,,0,cl,-1,-1,1,1
12,-0.026,0.00576,-4.51389,cl,-0.026,-0.026,0,0
13,,,0,cl,-1,-1,1,1
14,-0.078,0.00587,-13.2879,cl,-0.078,-0.078,0,0
15,,,0,cl,-1,-1,1,1
16,,,0,cl,-1,-1,1,1
17,,,0,cl,-1,-1,1,1
18,-0.1037,0.00596,-17.3993,cl,-0.1037,-0.1037,0,0
19,,,0,cl,-1,-1,1,1
20,,,0,cl,-1,-1,1,1
21,-0.0413,0.00581,-7.10843,cl,-0.0413,-0.0413,0,0
22,-0.0187,0.00559,-3.34526,cl,-0.0187,-0.0187,0,0
23,,,0,cl,-1,-1,1,1
24,-0.0502,0.00594,-8.45118,cl,-0.0502,-0.0502,0,0
25,-0.0493,0.00611,-8.06874,cl,-0.0493,-0.0493,0,0
26,,,0,cl,-1,-1,1,1
27,,,0,cl,-1,-1,1,1
28,-0.0318,0.00678,-4.69027,cl,-0.0318,-0.0318,0,0
29,,,0,cl,-1,-1,1,1
30,-0.0493,0.00674,-7.31454,cl,-0.0493,-0.0493,0,0
31,-0.0334,0.00666,-5.01502,cl,-0.0334,-0.0334,0,0
32,-0.0799,0.00663,-12.0513,cl,-0.0799,-0.0799,0,0
33,,,0,cl,-1,-1,1,1
34,,,0,cl,-1,-1,1,1
35,,,0,cl,-1,-1,1,1
36,,,0,cl,-1,-1,1,1
37,,,0,cl,-1,-1,1,1
38,,,0,cl,-1,-1,1,1
39,,,0,cl,-1,-1,1,1
40,,,0,cl,-1,-1,1,1
41,0.0082,0.00649,1.26348,cl,0.0082,0.0082,0,0
42,,,0,cl,-1,-1,1,1
43,,,0,cl,-1,-1,1,1
44,0.074,0.00647,11.4374,cl,0.074,0.074,0,0
45,,,0,cl,-1,-1,1,1
46,,,0,cl,-1,-1,1,1
47,,,0,cl,-1,-1,1,1
48,,,0,cl,-1,-1,1,1
49,0.1969,0.00694,28.3718,cl,0.1969,0.1969,0,0
50,,,0,cl,-1,-1,1,1
51,0.1849,0.00688,26.875,cl,0.1849,0.1849,0,0
52,,,0,cl,-1,-1,1,1
53,,,0,cl,-1,-1,1,1
54,,,0,cl,-1,-1,1,1
55,,,0,cl,-1,-1,1,1
56,,,0,cl,-1,-1,1,1
57,,,0,cl,-1,-1,1,1
58,,,0,cl,-1,-1,1,1
59,,,0,cl,-1,-1,1,1
60,,,0,cl,-1,-1,1,1
61,0.1888,0.0074,25.5135,cl,0.1888,0.1888,0,0
62,0.1861,0.00723,25.74,cl,0.1861,0.1861,0,0
63,0.2427,0.00732,33.1557,cl,0.2427,0.2427,0,0
64,,,0,cl,-1,-1,1,1
