Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
1,1.1376,0.0117,97.2308,cl_cd,97.2308,97.2308,0,0
2,1.1418,0.01174,97.2572,cl_cd,97.2572,97.2572,0,0
3,1.1459,0.01181,97.0279,cl_cd,97.0279,97.0279,0,0
4,1.15,0.01188,96.8013,cl_cd,96.8013,96.8013,0,0
5,1.1543,0.01196,96.5134,cl_cd,96.5134,96.5134,0,0
6,1.1586,0.01204,96.2292,cl_cd,96.2292,96.2292,0,0
7,1.1632,0.0121,96.1322,cl_cd,96.1322,96.1322,0,0
8,1.1675,0.01216,96.0115,cl_cd,96.0115,96.0115,0,0
9,1.1714,0.01223,95.7809,cl_cd,95.7809,95.7809,0,0
10,1.1749,0.01229,95.598,cl_cd,95.598,95.598,0,0
11,1.1782,0.01232,95.6331,cl_cd,95.6331,95.6331,0,0
12,1.1808,0.01237,95.4568,cl_cd,95.4568,95.4568,0,0
13,1.1821,0.01243,95.1006,cl_cd,95.1006,95.1006,0,0
14,1.183,0.01246,94.9438,cl_cd,94.9438,94.9438,0,0
15,1.1784,0.01248,94.4231,cl_cd,94.4231,94.4231,0,0
16,1.1729,0.01249,93.9071,cl_cd,93.9071,93.9071,0,0
17,1.1687,0.01252,93.3466,cl_cd,93.3466,93.3466,0,0
18,1.1653,0.01257,92.7049,cl_cd,92.7049,92.7049,0,0
19,1.1623,0.01262,92.0998,cl_cd,92.0998,92.0998,0,0
20,1.1293,0.01251,90.2718,cl_cd,90.2718,90.2718,0,0
21,1.1155,0.01272,87.6965,cl_cd,87.6965,87.6965,0,0
22,1.1126,0.01291,86.1813,cl_cd,86.1813,86.1813,0,0
23,1.1076,0.01309,84.6142,cl_cd,84.6142,84.6142,0,0
24,1.1021,0.01326,83.1146,cl_cd,83.1146,83.1146,0,0
25,1.0959,0.01343,81.6009,cl_cd,81.6009,81.6009,0,0
26,,,0,cl_cd,-10,-10,1,1
27,1.0821,0.01381,78.3563,cl_cd,78.3563,78.3563,0,0
28,1.0746,0.01401,76.7024,cl_cd,76.7024,76.7024,0,0
29,1.0667,0.01424,74.9087,cl_cd,74.9087,74.9087,0,0
30,1.0586,0.01447,73.1583,cl_cd,73.1583,73.1583,0,0
31,1.0501,0.0147,71.4354,cl_cd,71.4354,71.4354,0,0
32,1.0398,0.01496,69.5053,cl_cd,69.5053,69.5053,0,0
33,1.0293,0.01524,67.5394,cl_cd,67.5394,67.5394,0,0
34,1.0202,0.01554,65.6499,cl_cd,65.6499,65.6499,0,0
35,1.0099,0.01588,63.5957,cl_cd,63.5957,63.5957,0,0
36,0.9984,0.01623,61.5157,cl_cd,61.5157,61.5157,0,0
37,0.9874,0.01659,59.5178,cl_cd,59.5178,59.5178,0,0
38,0.9757,0.017,57.3941,cl_cd,57.3941,57.3941,0,0
39,0.9601,0.01744,55.0516,cl_cd,55.0516,55.0516,0,0
40,0.9519,0.01791,53.1491,cl_cd,53.1491,53.1491,0,0
41,0.943,0.01841,51.2222,cl_cd,51.2222,51.2222,0,0
42,0.9332,0.01897,49.1935,cl_cd,49.1935,49.1935,0,0
43,0.9196,0.01952,47.1107,cl_cd,47.1107,47.1107,0,0
44,0.9114,0.02013,45.2757,cl_cd,45.2757,45.2757,0,0
45,0.8995,0.02078,43.2868,cl_cd,43.2868,43.2868,0,0
46,0.8877,0.02143,41.4232,cl_cd,41.4232,41.4232,0,0
47,0.8754,0.02214,39.5393,cl_cd,39.5393,39.5393,0,0
48,0.8631,0.02287,37.7394,cl_cd,37.7394,37.7394,0,0
49,0.851,0.02364,35.9983,cl_cd,35.9983,35.9983,0,0
50,0.8392,0.02441,34.3794,cl_cd,34.3794,34.3794,0,0
51,0.8266,0.02526,32.7237,cl_cd,32.7237,32.7237,0,0
52,0.8143,0.02612,31.1753,cl_cd,31.1753,31.1753,0,0
53,,,0,cl_cd,-10,-10,1,1
54,0.7895,0.02789,28.3076,cl_cd,28.3076,28.3076,0,0
55,0.777,0.02882,26.9604,cl_cd,26.9604,26.9604,0,0
56,0.7647,0.02975,25.7042,cl_cd,25.7042,25.7042,0,0
57,,,0,cl_cd,-10,-10,1,1
58,0.7388,0.03174,23.2766,cl_cd,23.2766,23.2766,0,0
59,0.7262,0.03273,22.1876,cl_cd,22.1876,22.1876,0,0
60,0.7134,0.03374,21.144,cl_cd,21.144,21.144,0,0
61,0.6997,0.0348,20.1063,cl_cd,20.1063,20.1063,0,0
62,0.6866,0.03583,19.1627,cl_cd,19.1627,19.1627,0,0
63,0.6738,0.03686,18.28,cl_cd,18.28,18.28,0,0
64,0.6606,0.03792,17.4209,cl_cd,17.4209,17.4209,0,0
65,,,0,cl_cd,-10,-10,1,1
66,0.6323,0.04011,15.7641,cl_cd,15.7641,15.7641,0,0
67,0.6185,0.04119,15.0158,cl_cd,15.0158,15.0158,0,0
68,0.605,0.04226,14.3161,cl_cd,14.3161,14.3161,0,0
69,,,0,cl_cd,-10,-10,1,1
70,0.5777,0.0444,13.0113,cl_cd,13.0113,13.0113,0,0
71,0.5634,0.04555,12.3688,cl_cd,12.3688,12.3688,0,0
72,,,0,cl_cd,-10,-10,1,1
73,0.5347,0.04794,11.1535,cl_cd,11.1535,11.1535,0,0
74,0.5206,0.04942,10.5342,cl_cd,10.5342,10.5342,0,0
75,0.5079,0.05128,9.90445,cl_cd,9.90445,9.90445,0,0
76,0.496,0.05328,9.30931,cl_cd,9.30931,9.30931,0,0
77,0.4852,0.05566,8.71721,cl_cd,8.71721,8.71721,0,0
78,0.4754,0.05832,8.15158,cl_cd,8.15158,8.15158,0,0
79,0.4633,0.06117,7.57397,cl_cd,7.57397,7.57397,0,0
80,0.454,0.06449,7.03985,cl_cd,7.03985,7.03985,0,0
81,0.4453,0.06766,6.58144,cl_cd,6.58144,6.58144,0,0
82,0.4344,0.07152,6.07383,cl_cd,6.07383,6.07383,0,0
83,0.4278,0.07701,5.55512,cl_cd,5.55512,5.55512,0,0
84,0.4207,0.082,5.13049,cl_cd,5.13049,5.13049,0,0
85,0.4246,0.0906,4.68653,cl_cd,4.68653,4.68653,0,0
86,0.4781,0.10632,4.4968,cl_cd,4.4968,4.4968,0,0
87,,,0,cl_cd,-10,-10,1,1
88,,,0,cl_cd,-10,-10,1,1
89,,,0,cl_cd,-10,-10,1,1
