Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
1,1.1318,0.01147,98.6748,cl_cd,98.6748,98.6748,0,0
2,1.1337,0.01139,99.5347,cl_cd,99.5347,99.5347,0,0
3,1.1387,0.01133,100.503,cl_cd,100.503,100.503,0,0
4,1.1457,0.01133,101.121,cl_cd,101.121,101.121,0,0
5,1.1538,0.01137,101.478,cl_cd,101.478,101.478,0,0
6,1.1636,0.01136,102.43,cl_cd,102.43,102.43,0,0
7,1.1837,0.01137,104.107,cl_cd,104.107,104.107,0,0
8,1.1923,0.01142,104.405,cl_cd,104.405,104.405,0,0
9,1.2099,0.01154,104.844,cl_cd,104.844,104.844,0,0
10,1.22,0.01155,105.628,cl_cd,105.628,105.628,0,0
11,1.2354,0.01164,106.134,cl_cd,106.134,106.134,0,0
12,1.2447,0.01176,105.842,cl_cd,105.842,105.842,0,0
13,1.2634,0.0118,107.068,cl_cd,107.068,107.068,0,0
14,1.2737,0.0119,107.034,cl_cd,107.034,107.034,0,0
15,1.2896,0.01199,107.556,cl_cd,107.556,107.556,0,0
16,1.3087,0.01213,107.89,cl_cd,107.89,107.89,0,0
17,1.3246,0.01241,106.737,cl_cd,106.737,106.737,0,0
18,1.3369,0.01252,106.781,cl_cd,106.781,106.781,0,0
19,1.3493,0.01265,106.664,cl_cd,106.664,106.664,0,0
20,1.3626,0.01278,106.62,cl_cd,106.62,106.62,0,0
21,1.3909,0.01321,105.291,cl_cd,105.291,105.291,0,0
22,1.4109,0.01372,102.835,cl_cd,102.835,102.835,0,0
23,1.4298,0.01374,104.061,cl_cd,104.061,104.061,0,0
24,1.411,0.01732,81.4665,cl_cd,81.4665,81.4665,0,0
25,1.4197,0.01763,80.5275,cl_cd,80.5275,80.5275,0,0
26,1.4337,0.01788,80.1846,cl_cd,80.1846,80.1846,0,0
27,1.4451,0.0182,79.4011,cl_cd,79.4011,79.4011,0,0
28,,,0,cl_cd,-20,-20,1,1
29,,,0,cl_cd,-20,-20,1,1
30,1.5321,0.01498,102.276,cl_cd,102.276,102.276,0,0
31,1.5161,0.01522,99.6124,cl_cd,99.6124,99.6124,0,0
32,1.521,0.01563,97.3129,cl_cd,97.3129,97.3129,0,0
33,1.5128,0.01551,97.5371,cl_cd,97.5371,97.5371,0,0
34,1.4926,0.01614,92.4783,cl_cd,92.4783,92.4783,0,0
35,,,0,cl_cd,-20,-20,1,1
36,1.5006,0.01643,91.3329,cl_cd,91.3329,91.3329,0,0
37,1.5006,0.01643,91.3329,cl_cd,91.3329,91.3329,0,0
38,1.5261,0.01664,91.7127,cl_cd,91.7127,91.7127,0,0
39,,,0,cl_cd,-20,-20,1,1
40,,,0,cl_cd,-20,-20,1,1
41,,,0,cl_cd,-20,-20,1,1
42,,,0,cl_cd,-20,-20,1,1
43,,,0,cl_cd,-20,-20,1,1
44,1.5858,0.01835,86.4196,cl_cd,86.4196,86.4196,0,0
45,,,0,cl_cd,-20,-20,1,1
46,1.6234,0.0195,83.2513,cl_cd,83.2513,83.2513,0,0
47,,,0,cl_cd,-20,-20,1,1
48,,,0,cl_cd,-20,-20,1,1
49,,,0,cl_cd,-20,-20,1,1
50,,,0,cl_cd,-20,-20,1,1
51,,,0,cl_cd,-20,-20,1,1
52,,,0,cl_cd,-20,-20,1,1
53,,,0,cl_cd,-20,-20,1,1
54,,,0,cl_cd,-20,-20,1,1
55,,,0,cl_cd,-20,-20,1,1
56,,,0,cl_cd,-20,-20,1,1
57,,,0,cl_cd,-20,-20,1,1
58,,,0,cl_cd,-20,-20,1,1
59,,,0,cl_cd,-20,-20,1,1
60,,,0,cl_cd,-20,-20,1,1
61,,,0,cl_cd,-20,-20,1,1
62,,,0,cl_cd,-20,-20,1,1
63,,,0,cl_cd,-20,-20,1,1
64,,,0,cl_cd,-20,-20,1,1
65,,,0,cl_cd,-20,-20,1,1
66,,,0,cl_cd,-20,-20,1,1
67,,,0,cl_cd,-20,-20,1,1
68,,,0,cl_cd,-20,-20,1,1
69,,,0,cl_cd,-20,-20,1,1
70,,,0,cl_cd,-20,-20,1,1
71,,,0,cl_cd,-20,-20,1,1
72,,,0,cl_cd,-20,-20,1,1
73,,,0,cl_cd,-20,-20,1,1
74,,,0,cl_cd,-20,-20,1,1
75,,,0,cl_cd,-20,-20,1,1
76,,,0,cl_cd,-20,-20,1,1
77,,,0,cl_cd,-20,-20,1,1
78,,,0,cl_cd,-20,-20,1,1
79,,,0,cl_cd,-20,-20,1,1
80,,,0,cl_cd,-20,-20,1,1
81,,,0,cl_cd,-20,-20,1,1
82,,,0,cl_cd,-20,-20,1,1
83,,,0,cl_cd,-20,-20,1,1
84,,,0,cl_cd,-20,-20,1,1
85,,,0,cl_cd,-20,-20,1,1
86,,,0,cl_cd,-20,-20,1,1
87,,,0,cl_cd,-20,-20,1,1
88,,,0,cl_cd,-20,-20,1,1
89,,,0,cl_cd,-20,-20,1,1
90,,,0,cl_cd,-20,-20,1,1
91,,,0,cl_cd,-20,-20,1,1
92,,,0,cl_cd,-20,-20,1,1
93,,,0,cl_cd,-20,-20,1,1
94,,,0,cl_cd,-20,-20,1,1
95,,,0,cl_cd,-20,-20,1,1
96,,,0,cl_cd,-20,-20,1,1
97,,,0,cl_cd,-20,-20,1,1
98,,,0,cl_cd,-20,-20,1,1
99,,,0,cl_cd,-20,-20,1,1
100,,,0,cl_cd,-20,-20,1,1
101,,,0,cl_cd,-20,-20,1,1
