0.999416 0.001348
0.998880 0.001934
0.997684 0.002634
0.995852 0.003442
0.993407 0.004353
0.990368 0.005359
0.986754 0.006455
0.982583 0.007633
0.977870 0.008888
0.972630 0.010212
0.966877 0.011600
0.960623 0.013044
0.953882 0.014540
0.946663 0.016080
0.938980 0.017658
0.930843 0.019270
0.922262 0.020909
0.913249 0.022570
0.903814 0.024247
0.893968 0.025936
0.883721 0.027633
0.873085 0.029331
0.862070 0.031028
0.850688 0.032718
0.838950 0.034398
0.826869 0.036065
0.814456 0.037714
0.801724 0.039342
0.788685 0.040946
0.775353 0.042524
0.761741 0.044071
0.747863 0.045587
0.733733 0.047067
0.719365 0.048511
0.704773 0.049915
0.689974 0.051277
0.674981 0.052596
0.659810 0.053869
0.644477 0.055095
0.628997 0.056272
0.613387 0.057399
0.597661 0.058473
0.581838 0.059494
0.565932 0.060460
0.549960 0.061369
0.533937 0.062221
0.517882 0.063013
0.501809 0.063745
0.485734 0.064415
0.469675 0.065021
0.453647 0.065563
0.437666 0.066040
0.421747 0.066449
0.405907 0.066790
0.390161 0.067061
0.374524 0.067262
0.359011 0.067390
0.343637 0.067444
0.328417 0.067424
0.313366 0.067327
0.298498 0.067152
0.283826 0.066898
0.269366 0.066564
0.255130 0.066148
0.241132 0.065649
0.227386 0.065065
0.213905 0.064395
0.200702 0.063637
0.187790 0.062790
0.175182 0.061852
0.162891 0.060823
0.150930 0.059700
0.139311 0.058482
0.128048 0.057168
0.117153 0.055756
0.106641 0.054244
0.096523 0.052631
0.086813 0.050915
0.077526 0.049095
0.068675 0.047169
0.060275 0.045134
0.052340 0.042990
0.044887 0.040734
0.037930 0.038364
0.031487 0.035877
0.025574 0.033272
0.020210 0.030545
0.015412 0.027695
0.011202 0.024717
0.007598 0.021608
0.004623 0.018365
0.002298 0.014984
0.000649 0.011459
-0.000302 0.007786
-0.000527 0.003960
0.000000 -0.000027
0.001859 -0.003523
0.004033 -0.007008
0.006546 -0.010395
0.009418 -0.013698
0.012670 -0.016925
0.016317 -0.020084
0.020374 -0.023180
0.024851 -0.026214
0.029758 -0.029187
0.035103 -0.032097
0.040890 -0.034942
0.047123 -0.037718
0.053804 -0.040421
0.060933 -0.043046
0.068509 -0.045586
0.076528 -0.048036
0.084987 -0.050391
0.093880 -0.052643
0.103201 -0.054789
0.112942 -0.056821
0.123095 -0.058734
0.133651 -0.060525
0.144598 -0.062187
0.155925 -0.063719
0.167622 -0.065115
0.179675 -0.066373
0.192071 -0.067492
0.204797 -0.068469
0.217838 -0.069303
0.231180 -0.069994
0.244808 -0.070542
0.258706 -0.070948
0.272860 -0.071213
0.287252 -0.071339
0.301867 -0.071328
0.316688 -0.071183
0.331699 -0.070907
0.346884 -0.070504
0.362224 -0.069979
0.377704 -0.069334
0.393306 -0.068577
0.409014 -0.067710
0.424810 -0.066740
0.440678 -0.065672
0.456600 -0.064511
0.472560 -0.063264
0.488541 -0.061937
0.504525 -0.060535
0.520497 -0.059064
0.536440 -0.057531
0.552338 -0.055942
0.568173 -0.054303
0.583931 -0.052620
0.599595 -0.050898
0.615149 -0.049145
0.630577 -0.047366
0.645865 -0.045566
0.660998 -0.043751
0.675959 -0.041928
0.690735 -0.040100
0.705311 -0.038274
0.719672 -0.036455
0.733805 -0.034648
0.747697 -0.032857
0.761333 -0.031088
0.774700 -0.029345
0.787786 -0.027632
0.800578 -0.025954
0.813063 -0.024315
0.825231 -0.022718
0.837069 -0.021168
0.848566 -0.019667
0.859712 -0.018220
0.870495 -0.016828
0.880907 -0.015496
0.890937 -0.014224
0.900577 -0.013016
0.909817 -0.011872
0.918649 -0.010795
0.927066 -0.009785
0.935060 -0.008841
0.942625 -0.007963
0.949755 -0.007151
0.956444 -0.006401
0.962687 -0.005710
0.968479 -0.005075
0.973818 -0.004490
0.978701 -0.003947
0.983124 -0.003438
0.987087 -0.002953
0.990589 -0.002480
0.993629 -0.002003
0.996210 -0.001506
0.998333 -0.000968
1.000000 -0.000368
